courseID,courseName,designation,hours,hasPrereq,hasVarPrereq,prereqs,varPrereqs,description,isNCSU,isUNC
bme398,Biomedical Engineering Design and Manufacturing II,junior,2,TRUE,TRUE,"bme298, bme207, bme201","bmme298, bmme207, bme210, bmme201","Students will be required to continue their use of the tools learned in Biomedical Design and Manufacturing I in the context of modern design practices and manufacturing processes. The organizational and project management tools of moderm design will be introduced, and a technical discussion of a modern manufacturing technology will be introduced each week.",TRUE,FALSE
bme412,Biomedical Signal Processing,microdevices,3,TRUE,FALSE,"bme311, st370",,Fundamentals of continuous- and discrete-time signal processing as applied to problems in biomedical instrumentation. Properties of biomedical signals and instruments. Descriptions of random noise and signal processes. Interactions between randombiomedical signals and systems. Wiener filtering. Sampling theory. Discrete-time signal analysis. Applications of Z-transform and discrete Fourier transform. Digital filter design methods for biomedical instruments. BME or MS or PHD; credit not allowed for both BME 412 and BME 512.,TRUE,FALSE
bme418,Wearable Biosensors and Microsystems,microdevices,3,FALSE,FALSE,,,"This course surveys the methods and application of wearable electronics and microsystems to monitor human biometrics, physiology, and environmental conditions. Topics covered include wearable electrocardiograms, blood-glucose monitors, electronic tattoos, wearable energy harvesting, ""smart"" clothing, body area networks, and distributed population networks. Critical comparison of different sensor modalities, quantitative metrics, and how their limitations in realistic applications define the selection, design, and operation criteria of one type of sensor over another will be considered.",TRUE,FALSE
bme425,Bioelectricity,rehabilitation,3,TRUE,TRUE,bme302,"zo421, ece331","Quantitative analysis of excitable membranes and their signals, including plasma membrane characteristics, origin of electrical membrane potentials, action potentials, voltage clamp experiments, the Hodgkin-Huxley equations, propagation, subthresholdstimuli, extracellular fields, membrane biophysics, and electrophysiology of the heart. Design and development of an electrocardiogram analysis system.",TRUE,FALSE
bme444,Orthopaedic Biomechanics,rehabilitation,3,TRUE,TRUE,"bme301, bme302, bme345","bmme301, bmme302, bmme345, mae214, ce225","Students study human body kinematics, force analysis of joints, and the structure and composition of biological materials. Emphasis is placed on the measurement of mechanical properties and the development and understanding of models of biological material mechanical behavior.",TRUE,FALSE
bme451,Biomedical Engineering Senior Design I,senior,3,TRUE,TRUE,"bme302, bme352, eng331",eng333,"This course encompasses the project proposal and design concepts, including: individual pre-proposals, team proposals, project planning, scheduling, needs assessment, product requirements, competitive landscape and patent review, business risks, design concepts, and phase reviews. BME majors only.",TRUE,FALSE
bme452,Biomedical Engineering Senior Design II,senior,3,TRUE,FALSE,bme451,,"This course is a continuation of BME 451 moving from proposal and concepts into manufacturing, prototyping, and testing. The deliverables in this course include: detailed manufacturing specifications, biomaterials review, supplier identification, product feasibility, issues tracking, manufacturing planning, bill of materials, product risks, qualification protocol, IP disclosure, process validation planning, regulatory review, design history file audit, lessons learned, and phase reviews.",TRUE,FALSE
bme467,Mechanics of Tissues & Implants Requirements,rehabilitation,3,TRUE,TRUE,"bio183, mae214","zo160, ce225","Application of engineering and biological principles to understand the structure and performance of tendons, ligaments, skin, and bone; bone mechanics; viscoelasticity of soft biological tissues; models of soft biological tissues; mechanics of skeletal muscle; and tissue-derived devices as well as interfaces between native tissues and synthetic devices.",TRUE,FALSE
bme480,Biomedical Microcontroller Applications,,3,FALSE,FALSE,,,"Overview of microcontroller-based systems, including applications, architecture, number systems, and languages. Students gain experience using a PIC-based microcontroller to input information from a user and output information using LEDs and LCD displays. Student will learn capabilities of the PIC through in class exercises and weekly programming assignments. Both assembly language and PIC-based C are used. Students develop a PIC-based heart rate monitor and work in pairs on a BME-related project of their choice.",TRUE,FALSE
bme481,Quality Management Systems for Engineers,junior,3,TRUE,TRUE,bmme697,bme451,"This course is designed for biomedical engineering students who plan to work in industry. The course covers industry related topics including team work, conflict resolution, manufacturing and specifications, gap analysis, and root cause of analysis. Design topics including design of experiments, and standards and regulations relevant to the biomedical engineering profession are also covered. Lean and six sigma are taught with an option to test for a six sigma green belt if a six sigma project is completed in the following semester.",TRUE,TRUE
bme483,Tissue Engineering Technologies,regenerative,2,TRUE,TRUE,bit466,bit566,"In this half-semester laboratory module, students will gain practical experience with two key elements of tissue engineering: tissue building and angiogenesis. Using advanced culture techniques, students will construct a complex living tissue that closely resembles its natural counterpart, then assess its ability to support ingrowth of capillaries (angiogenesis). The effects of different biomaterials and angiogenic factors will be evaluated. The engineered tissue will be embedded, sectioned and stained for histological analysis.",TRUE,FALSE
bme484,Fundamentals of Tissue Engineering,regenerative,3,TRUE,TRUE,"bio183, ch221, mae201","mse301, che315, te303, bme315, bme325","This course covers essential concepts of organ and tissue design and engineering using living components, including cell-based systems and cells/tissues in combination with biomaterials, synthetic materials and/or devices. Topics include: In vivo tissue structure and function; Isolation and culture of primary cells and stem cells; Principles of cellular differentiation; Mass transport processes in cell culture systems; Design, production and seeding of scaffolds for 3D culture; Design of bioreactors to support high-density cell growth; State-of-the-art engineered tissue systems; Clinical translation; and Ethics.",TRUE,FALSE
bme490,Special Topics in Biomedical Engineering,microdevices,,FALSE,FALSE,,,Offered as needed for presenting material not normally available in regular BME Department courses or for new BME courses on a trial basis.,TRUE,FALSE
bme498,Undergraduate Research in Biomedical Engineering,,3,FALSE,FALSE,,,Opportunity for hands-on faculty mentored research project in biomedical engineering. Course may be a stand-alone project completed in one semester/summer or serve as part of a two-semester project. Approved plan of work required with significant independent research culminating in a final paper and presentation at the NC State Undergraduate Research Symposium or other appropriate venue. Students must identify an advisor from within the BME faculty with whom to work on a regular basis. The advisor must approve the student prior to the student registering for the course. The BME Undergraduate Coordinator must approve the use of the course as a restricted elective for the BME degree. Departmental Approval Required. Individualized/Independent Study and Research courses require a Course Agreement for Students Enrolled in Non-Standard Courses be completed by the student and faculty member prior to registration by the department.,TRUE,FALSE
bme501,Biomedical Innovation and Entrepreneurship I - Needs Discovery,,4,FALSE,FALSE,,,"This course utilizes clinical immersion to identify medical device and other healthcare opportunities. Students will be exposed to diverse healthcare environments and learn to triage opportunities based on financial, regulatory and intellectual property landscapes. Guest lectures will feature experts in the medical device, pharmaceutical and healthcare industries as well as local entrepreneurs.",TRUE,FALSE
bme502,Biomedical Innovation and Entrepreneurship II - Design and Regulation,,4,FALSE,FALSE,,,"This course teaches path-to-market concepts including regulatory aspects unique to medical devices and pharmaceuticals. Topics include detailed analyses of Phase I-IV clinical trials, 510(k) and PMA approvals, Investigational Device Exemption (IDE) Investigational New Drug (IND) application, Good Laboratory Practices (GLP) and clinical research organizations (CROs). Students will participate in frequent visits to local biotech companies. Guest lectures will feature experts in FDA processes, clinical research and early stage biotech ventures.",TRUE,FALSE
bme503,Biomedical Innovation and Entrepreneurship III - Product Development,,4,FALSE,FALSE,,,This course covers product development and project management for new biomedical-related products from accessing various streams of funding to allocation of resources for rapid prototyping and scale-up manufacturing. Students will visit local biotech companies and prototyping facilities. A guest lecture series will feature best practices from entrepreneurs and industry practitioners.,TRUE,FALSE
bme512,Biomedical Signal Processing,,3,TRUE,TRUE,"bme311, st370",st371,Fundamentals of continuous- and discrete-time signal processing as applied to problems in biomedical instrumentation. Properties of biomedical signals and instruments. Descriptions of random noise and signal processes. Interactions between randombiomedical signals and systems. Wiener filtering. Sampling theory. Discrete-time signal analysis. Applications of Z-transform and discrete Fourier transform. Digital filter design methods for biomedical instruments. BME or MS or PHD; credit not allowed for both BME 412 and BME 512.,TRUE,FALSE
bme518,Wearable Biosensors and Microsystems,,3,FALSE,FALSE,,,"This course surveys the methods and application of wearable electronics and microsystems to monitor human biometrics, physiology, and environmental conditions. Topics covered include wearable electrocardiograms, blood-glucose monitors, electronic tattoos, wearable energy harvesting, ""smart"" clothing, body area networks, and distributed population networks. Critical comparison of different sensor modalities, quantitative metrics, and how their limitations in realistic applications define the selection, design, and operation criteria of one type of sensor over another will be considered.",TRUE,FALSE
bme522,Medical Instrumentation,microdevices,3,FALSE,FALSE,,,"Fundamentals of medical instrumentation systems, sensors, and biomedical signal processing. Example instruments for cardiovascular and respiratory assessment. Clinical laboratory measurements, theraputic and prosthetic devices, and electrical safetyrequirements. Students should have background in electronics design using operational amplifiers.",TRUE,FALSE
bme525,Bioelectricity,,3,TRUE,TRUE,bme302,zo421,"Quantitative analysis of excitable membranes and their signals, including plasma membrane characteristics, origin of electrical membrane potentials, action potentials, voltage clamp experiments, the Hodgkin-Huxley equations, propagation, subthresholdstimuli, extracellular fields, membrane biophysics, and electrophysiology of the heart. Design and development of an electrocardiogram analysis system.",TRUE,FALSE
bme540,"Nanobiotechnology Processing, Characterization, and Applications",,3,TRUE,FALSE,"bio183, py208",,"Topics at the interface of nanoscale science and biotechnology will be discussed. Chemical, physical, and biological properties of nanostructured biomaterials, devices, and systems. Lectures and problem-based learning will be used to present development of nanobiotechnology-enhanced materials and devices.",TRUE,FALSE
bme543,Cardiovascular Biomechanics,,3,FALSE,FALSE,,,"Engineering principles are applied to the cardiovascular system. Anatomy of cardiovascular system; form and function of blood and blood vessels. Electric analogs; continuum mechanics with derivation of equations of motion; and constitutive models of soft tissue mechanics, with attention to normal, diseased, and adaptive processes. Programming project required.",TRUE,FALSE
bme544,Orthopaedic Biomechanics,,3,FALSE,FALSE,,,"Students study human body kinematics, force analysis of joints, and the structure and composition of biological materials. Emphasis is placed on the measurement of mechanical properties and the development and understanding of models of biological material mechanical behavior.",TRUE,FALSE
bme550,"Medical Imaging: Ultrasonic, Optical, and Magnetic Resonance Systems",,3,TRUE,TRUE,"bme412, st370, py208",st371,"Physical and mathematical foundations of ultrasonic, optical, and magnetic resonance imaging systems in application to medical diagnostics. Each imaging modality is examined on a case-by-case basis, highlighting the following critical system characteristics: (1) underlying physics of the imaging system, including the physical mechanisms of data generation and acquisition; (2) image creation, and (3) basic processing methods of high relevance, such as noise reduction.",TRUE,FALSE
bme551,Medical Device Design,,3,FALSE,FALSE,,,Student multidisciplinary teams work with local medical professionals to define specific medical device concepts for implementation. Medical specialty immersion with clinical departments at local medical centers; design input based on stakeholder-needs assessment' market analysis and intellectual property review; new medical devices with broad markets; design output and device specification; product feasibility and risk assessment; design for medical device manufacturing.,TRUE,FALSE
bme552,Medical Device Design II,,3,FALSE,FALSE,,,Student groups build and test prototypes of devices designed in the first course of this series. Good manufacturing practices; process validation; FDA quality system regulations; design verification and validation; regulatory approval planning; andintellectual property protection. Students will work with local patent attorneys and/or agents to draft a patent application. The final prototypes will be evaluated by clinicians for potential use with patients.,TRUE,FALSE
bme560,"Medical Imaging: X-ray, CT, and Nuclear Medicine Systems",,3,TRUE,TRUE,"bme311, st370, py208",st371,Overview of medical imaging systems using ionizing radiation. Interaction of radiation with matter. Radiation production and detection. Radiography systems and applications. Tomography. PET and SPECT systems and applications.,TRUE,FALSE
bme566,Polymeric Biomaterials Engineering,,3,TRUE,TRUE,"py208, te200, mae206","ch220, ch221, ch225, ce214","In-depth study of the engineering design of biomedical polymers and implants. Polymeric biomaterials, including polymer synthesis and structure, polymer properties as related to designing orthopedic and vascular grafts. Designing textile products as biomaterials including surface modification and characterization techniques. Bioresorbable polymers.",TRUE,FALSE
bme583,Tissue Engineering Technologies,,2,TRUE,TRUE,bit466,bit566,"In this half-semester laboratory module, students will gain practical experience with two key elements of tissue engineering: tissue building and angiogenesis. Using advanced culture techniques, students will construct a complex living tissue that closely resembles its natural counterpart, then assess its ability to support ingrowth of capillaries (angiogenesis). The effects of different biomaterials and angiogenic factors will be evaluated. The engineered tissue will be embedded, sectioned and stained for histological analysis.",TRUE,FALSE
bme584,Fundamentals of Tissue Engineering,,3,TRUE,TRUE,"bio183, ch221, mse301","zo160, che315, te303","This course covers essential concepts of organ and tissue design and engineering using living components, including cell-based systems and cells/tissues in combination with biomaterials, synthetic materials and/or devices. Topics include: In vivo tissue structure and function; Isolation and culture of primary cells and stem cells; Principles of cellular differentiation; Mass transport processes in cell culture systems; Design, production and seeding of scaffolds for 3D culture; Design of bioreactors to support high-density cell growth; State-of-the-art engineered tissue systems; Clinical translation; and Ethics.",TRUE,FALSE
bme590,Special Topics in Biomedical Engineering,pharma,,FALSE,FALSE,,,A study of topics in the special fields under the direction of the graduate faculty.,TRUE,FALSE
ce214,Engineering Mechanics-Statics,,3,TRUE,FALSE,"py205, ma241, ma242",,Basic force concepts and equilibrium analysis; distributed forces; centroids; moments of inertia; application to structural elements. Credit will not be given for both CE 214 and MAE 206.,TRUE,FALSE
ce215,Engineering Mechanics-Dynamics,,3,TRUE,FALSE,"ce214, ma242",,"Kinematics and kinetics of particles; mass flow; vibrations; plane kinematics and kinetics of rigid bodies; selected topics from three-dimensional rigid body dynamics, and orbital motion.",TRUE,FALSE
ce225,Mechanics of Solids,,3,TRUE,FALSE,"ce214, ma242",,"Elementary analysis of deformable solids subjected to force systems. Concepts of stress and strain; one, two and three-dimensional stress-strain relationships for the linear elastic solid. Statically determinate and indeterminate axial force, torsion and bending members. Stress transformations, pressure vessels, combined loadings. Introduction to column buckling.",TRUE,FALSE
ch101,Chemistry - A Molecular Science,freshman,3,FALSE,FALSE,,,"A fundamental study of molecular bonding, structure, and reactivity. Principles of atomic structure, ionic and covalent bonding, reaction energetics, intermolecular forces, precipitation reactions, acid/base reactions, oxidation/reduction processes, and introductions to organic and inorganic chemistry.",TRUE,FALSE
ch102,General Chemistry Laboratory,freshman,1,FALSE,FALSE,,,Laboratory experience to accompany CH 101. Introduction to basic laboratory equipment and skills.,TRUE,FALSE
ch201,Chemistry - A Quantitative Science,freshman,3,TRUE,FALSE,ch101,,"Detailed quantitative aspects of solutions, solution stoichiometry, thermodynamics, chemical equilibrium, acid-base equilibria, solubility equilibria, electrochemistry, chemical kinetics, and nuclear chemistry.",TRUE,FALSE
ch220,Introductory Organic Chemistry,freshman,3,TRUE,FALSE,"ch101, ch102",,"A one-semester course in the fundamental principles of organic chemistry. Preparation, reactions, and physical properties of alkanes, cycloalkanes, alcohols, alkyl halides, aromatic compounds, aldehydes, ketones, organic acids, acid derivatives, and amines. Credit is not allowed for both CH 220 and CH 221.",TRUE,FALSE
ch221,Organic Chemistry I,freshman,3,TRUE,FALSE,"ch101, ch102",,"First half of two-semester sequence in the fundamentals of modern organic chemistry. Structure and bonding, stereochemistry, reactivity and synthesis of carbon compounds. Detailed coverage of aliphatic hydrocarbons, alcohols, ethers, and alkyl halides. Introduction to spectral techniques of IR, UV-vis, and NMR. Students cannot receive credit for both CH 221 and CH 225.",TRUE,FALSE
ch222,Organic Chemistry I Lab,freshman,1,TRUE,TRUE,"ch101, ch102",ch221,Laboratory experience to accompany CH 220 or CH 221. Introduction to basic organic laboratory equipment and techniques. Students cannot receive credit for both CH 222 and CH 226.,TRUE,FALSE
ch223,Organic Chemistry II,,3,TRUE,FALSE,"ch221, ch222",,"Second half of two-semester sequence in the fundamentals of modern organic chemistry. Structure and bonding, stereochemistry, reactivity and synthesis of carbon compounds. Detailed coverage of aromatic hydrocarbons, condensation reagents, and selected biological chemistry topics such as carbohydrates, lipids, and amino acids. Students cannot receive credit for both CH 223 and CH 227.",TRUE,FALSE
ch224,Organic Chemistry II Lab,,1,TRUE,FALSE,"ch221, ch222",,Laboratory experience to accompany CH 223. Introduction to basic organic laboratory equipment and techniques. Students cannot receive credit for both CH 224 and CH 228.,TRUE,FALSE
ch225,Organic Chemistry I for Students in Chemical Sciences,,3,TRUE,TRUE,"ch201, ch202","ch203, ch204","First half of a two semester sequence in organic chemistry for students interested in a chemistry or closely related career. Structure and bonding, stereochemistry, reactivity and synthesis of aliphatic hydrocarbons, alcohols, ethers and alkyl halides. Introduction to IR, NMR, and mass spectral techniques. This course is open to 17CHEMBS, 17CHEMBA, 14EFY-14CHEI, 14CHEBS, 11BIOCHBS, 11LSFY-11BCHI, and 17MARSCBS-17MARSCHM majors and to students with departmental approval. Students cannot receive credit for both CH 221 and CH 225.",TRUE,FALSE
ch226,Organic Chemistry Laboratory I for Students in Chemical Sciences,,1,TRUE,FALSE,"ch201, ch202",,"First half of a two semester laboratory sequence in organic chemistry for students interested in a chemistry or closely related career. Laboratory experiments in the determination of physical properties of organic compounds, separation of mixtures and purification of compounds, synthesis and spectroscopic characterization of organic compounds, and the execution of a multi-step synthesis. This course is open to 17CHEMBS, 17CHEMBA, 14EFY-14CHEI, 14CHEBS, 11BIOCHBS, 11LSFY-11BCHI and 17MARSCBS-17MARSCHM majors and to students with departmental approval. Students cannot receive credit for both CH 222 and CH 226.",TRUE,FALSE
ch227,Organic Chemistry II for Students in Chemical Sciences,,3,TRUE,TRUE,"ch221, ch222","ch225, ch226","Second half of a two semester sequence in organic chemistry for students interested in a chemistry or other closely related career. Structure and bonding, stereochemistry, reactivity and synthesis of aromatic compounds. Condensation reactions and organic compounds of biological interest. This course is open to 17CHEMBS, 17CHEMBA, 14EFY-14CHEI, 14CHEBS, 11BIOCHBS, 11LSFY-11BCHI and 17MARSCBS-17MARSCHM majors and to students with departmental approval. Students cannot receive credit for both CH 223 and CH 227.",TRUE,FALSE
che205,Chemical Process Principles,,4,TRUE,TRUE,"ma241, py205, ch201","ch221, ch225","Engineering methods of treating material balances, stoichiometry, phase equilibrium calculations, thermophysics, thermochemistry and the first law of thermodynamics. Introduction to equation solving packages and spreadsheets for solving problems related to chemical engineering calculations.",TRUE,FALSE
